location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Africa,OWID_AFR,1/9/2021,0,0,,,0,0,0,0,,,0,0,0
Africa,OWID_AFR,1/10/2021,0,0,,,500,500,0,0,,,0,500,0
Africa,OWID_AFR,1/11/2021,0,0,,,500,500,0,0,,,0,500,0
Africa,OWID_AFR,1/12/2021,0,0,,,500,500,0,0,,,0,500,0
Africa,OWID_AFR,1/13/2021,2000,2000,,,500,500,0,0,,,0,500,0
Africa,OWID_AFR,1/14/2021,2000,2000,,,1000,600,0,0,,,0,600,0
Africa,OWID_AFR,1/15/2021,4000,4000,,,1000,667,0,0,,,0,667,0
Africa,OWID_AFR,1/16/2021,7000,7000,,,3000,1000,0,0,,,1,1000,0
Africa,OWID_AFR,1/17/2021,7000,7000,,,1325,1118,0,0,,,1,1118,0
Africa,OWID_AFR,1/18/2021,7000,7000,,,1325,1236,0,0,,,1,1236,0
Africa,OWID_AFR,1/19/2021,10976,10976,,,1325,1354,0,0,,,1,1354,0
Africa,OWID_AFR,1/20/2021,13163,13163,,,2187,1595,0,0,,,1,1595,0
Africa,OWID_AFR,1/21/2021,13163,13163,,,1864,1718,0,0,,,1,1718,0
Africa,OWID_AFR,1/22/2021,16890,16890,,,1864,1841,0,0,,,1,1841,0
Africa,OWID_AFR,1/23/2021,18353,18353,,,1463,1622,0,0,,,1,1622,0
Africa,OWID_AFR,1/24/2021,18353,18353,,,768,1542,0,0,,,1,1542,0
Africa,OWID_AFR,1/25/2021,19889,19889,,,987,1682,0,0,,,1,1682,0
Africa,OWID_AFR,1/26/2021,22712,22712,,,3072,1926,0,0,,,1,1926,0
Africa,OWID_AFR,1/27/2021,25587,25587,,,3124,2024,0,0,,,1,2024,0
Africa,OWID_AFR,1/28/2021,28779,28779,,,3441,2214,0,0,,,2,2214,0
Africa,OWID_AFR,1/29/2021,30861,30861,,,47331,47245,0,0,,,33,2245,0
Africa,OWID_AFR,1/30/2021,122206,32206,,,46685,47267,0.01,0,,,33,2267,0
Africa,OWID_AFR,1/31/2021,158206,32206,,,44099,46602,0.01,0,,,33,4602,0
Africa,OWID_AFR,2/1/2021,236712,36631,,,82180,55718,0.02,0,,,39,5698,0
Africa,OWID_AFR,2/2/2021,295127,37836,,,65305,57648,0.02,0,,,40,6190,0
Africa,OWID_AFR,2/3/2021,347149,38746,5,,58805,57894,0.02,0,0,,41,6493,0
Africa,OWID_AFR,2/4/2021,390474,38746,5,,50984,56995,0.03,0,0,,40,6673,0
Africa,OWID_AFR,2/5/2021,446986,38746,5,,64171,58945,0.03,0,0,,41,6902,0
Africa,OWID_AFR,2/6/2021,504800,39248,1586,,63390,61320,0.04,0,0,,43,7669,0.001
