Country,Confirmed,Deaths,Recovered,Number,Population,date
Afghanistan,39703,1473,33064,51.35,38928341,8/27/2023
Albania,15231,416,9406,108.39,2877800,5/14/2023
Algeria,52940,1795,37170,34,43851043,9/4/2022
Andorra,2696,55,1814,196.71,77265,5/21/2023
Angola,6246,218,2716,75.74,32866268,8/20/2023
Antigua and Barbuda,111,3,97,145.58,97928,9/16/2022
Argentina,883882,23581,709464,255.08,45195777,9/2/2023
Armenia,55736,1016,45771,77.64,2963234,6/4/2023
Australia,27263,898,24987,250.19,25499881,3/24/2023
Austria,54423,852,42829,228.97,9006400,6/30/2023
Azerbaijan,41752,608,39235,133.78,10139175,8/28/2022
Bahamas,5023,106,2815,89.36,393248,5/12/2023
Bahrain,75287,273,70808,236.15,1701583,12/21/2022
Bangladesh,377073,5500,291365,211.26,164689383,9/4/2023
Barbados,206,7,183,135.53,287371,6/2/2023
Belarus,82471,885,76543,230.71,9449321,5/14/2023
Belgium,156931,10175,20202,254.25,11589616,8/26/2023
Belize,2427,35,1487,123.94,397621,3/31/2023
Benin,2411,41,1973,31.7,12123198,12/18/2022
Bhutan,306,0,287,257.07,771612,10/30/2022
Bolivia,138463,8292,100786,120.18,11673029,10/7/2022
Bosnia and Herzegovina,30345,927,23370,59.53,3280815,1/29/2022
Botswana,3219,18,834,120.58,2351625,5/7/2023
Brazil,5055888,149639,4502854,225.92,212559409,3/22/2023
Brunei,146,3,143,287.99,437479,6/30/2023
Bulgaria,24319,891,15818,68.03,6948445,9/4/2023
Burkina Faso,2271,61,1542,34.81,20903278,7/23/2023
Burma,26064,598,7050,106.71,54409800,9/10/2023
Burundi,517,1,472,0.32,11890781,8/20/2023
Cabo Verde,6913,74,5970,131.72,548800,8/20/2023
Cambodia,283,0,277,283.14,16718971,8/8/2023
Cameroon,21203,423,20117,17.19,26545864,8/6/2023
Canada,182767,9661,153857,252.13,37742157,2/2/2023
Central African Republic,4854,62,1924,57.04,4829764,7/16/2023
Chad,1291,92,1103,48.3,16425859,7/16/2023
Chile,479595,13272,452054,319.78,19116209,2/8/2023
China,90778,4739,85658,244.84,1439323774,2/9/2023
Colombia,902747,27660,783131,174.47,50882884,4/7/2023
Comoros,495,7,475,99.79,869595,10/2/2022
Congo (Kinshasa),10841,276,10242,13.96,5518092,7/31/2022
Costa Rica,87439,1076,52669,258.1,5094114,6/2/2023
Cote d'Ivoire,20128,120,19752,89.71,25070000,2/19/2023
Croatia,19932,317,16953,133.05,4105268,8/28/2023
Cuba,5948,123,5440,406.82,11326616,9/2/2023
Cyprus,1986,25,1444,200.74,875899,2/22/2023
Czechia,114005,948,54909,177.49,10708982,9/4/2023
Denmark,32575,667,26462,254.96,5792203,7/21/2023
Djibouti,5423,61,5355,35.04,988002,4/18/2023
Dominica,32,0,24,92.98,71991,10/7/2022
Dominican Republic,118014,2167,93627,145.81,10847904,8/20/2023
Ecuador,146828,12188,120511,219.79,17643060,3/31/2023
Egypt,104387,6040,97643,101.52,102334403,5/21/2023
El Salvador,29951,887,24995,178.16,6486201,10/2/2022
Equatorial Guinea,5063,83,4894,29.18,1402985,7/24/2022
Eritrea,414,0,372,42,3546427,7/24/2022
Estonia,3846,68,2946,159.33,1326539,8/28/2023
Eswatini,5660,113,5282,72.42,1160164,6/4/2023
Ethiopia,83429,1277,37683,55.81,114963583,5/28/2023
Fiji,32,2,28,167.27,896444,5/1/2023
Finland,11849,346,8500,238.52,5540718,8/16/2023
France,732434,32601,103232,227.82,65273512,7/10/2023
Gabon,8835,54,8189,23.97,2225728,2/5/2023
Gambia,3628,117,2540,53.38,2416664,3/19/2023
Georgia,11271,78,6119,78.27,3989175,10/13/2022
Germany,323463,9620,274934,230.56,83783945,4/7/2023
Ghana,47005,306,46398,76.55,31072945,7/2/2023
Greece,22078,436,1347,213.07,10423056,9/3/2023
Grenada,24,0,24,72.28,112519,3/17/2023
Guatemala,97544,3365,86046,114.11,17915567,5/12/2023
Guinea,10996,69,10304,76.81,13132792,4/2/2023
Guinea-Bissau,2385,40,1728,39.19,1874000,6/4/2023
Guyana,3405,102,2304,118.72,786559,2/17/2023
Haiti,8860,230,7104,5.73,11402533,6/2/2023
Holy See,12,0,12,0,809,6/2/2023
Honduras,83146,2504,31931,162,9904608,6/2/2023
Hungary,36596,933,9683,165.76,9660350,5/1/2022
Iceland,3460,10,2466,216,341250,3/29/2022
India,7053806,108334,6077976,155.71,1380004385,9/4/2023
Indonesia,328952,11765,251481,162.47,273523621,6/6/2023
Iran,496253,28293,403950,175.54,83992953,8/15/2023
Iraq,400124,9790,332330,43.95,40222503,1/2/2023
Ireland,41714,1824,23364,221.48,4937796,8/3/2023
Israel,289875,1941,225725,197.37,8655541,5/4/2023
Italy,349494,36140,238525,244.91,60461828,8/31/2023
Jamaica,7559,138,3142,54.03,2961161,8/15/2023
Japan,88962,1626,80798,309.59,126476458,5/7/2023
Jordan,23998,181,6045,89.12,10203140,8/21/2022
Kazakhstan,108757,1746,103980,107.84,18776707,3/3/2022
Kenya,41158,760,31876,43.96,53771300,4/2/2023
"Korea, South",24606,432,22693,250.21,51640000,12/12/2022
Kosovo,16130,645,14282,103.1,1932774,2/12/2023
Kuwait,110568,655,102722,193.51,4270563,8/27/2023
Kyrgyzstan,48924,1082,44227,55.05,6524191,9/4/2023
Laos,23,0,22,147.57,7275556,8/11/2022
Latvia,2596,40,1322,156.47,1886202,7/11/2022
Lebanon,52558,455,22719,105.92,6825442,12/22/2022
Lesotho,1800,42,926,58.07,2142252,3/19/2023
Liberia,1363,82,1245,84.12,5057677,12/11/2022
Libya,41686,623,23791,54.89,6871287,1/16/2023
Liechtenstein,142,1,117,188.89,38137,6/7/2023
Lithuania,5963,103,2751,165.31,2722291,9/1/2023
Luxembourg,9119,128,7900,212.25,625976,3/25/2023
Madagascar,16702,237,16012,10.44,27691019,7/30/2023
Malawi,5821,180,4644,40.97,19129955,7/2/2023
Malaysia,15096,155,10780,213.73,32365998,8/26/2023
Maldives,10859,34,9683,181.7,540542,5/25/2023
Mali,3273,132,2525,26.21,20250834,5/14/2023
Malta,3681,41,2937,258.95,441539,8/29/2023
Mauritania,7550,163,7266,86.06,4649660,8/20/2023
Mauritius,395,10,358,201.31,1271767,7/30/2023
Mexico,814328,83642,689377,175.02,128932753,10/7/2022
Moldova,61762,1458,43982,69.93,4033963,6/11/2023
Monaco,233,2,209,178.51,39244,12/21/2021
Mongolia,315,0,310,161.63,3278292,5/18/2022
Montenegro,13641,198,9429,108.31,628062,8/26/2022
Morocco,149841,2572,124854,147.87,36910558,5/14/2023
Mozambique,9844,70,7203,106.01,31255435,7/2/2023
Namibia,11891,128,9807,39.06,2540916,7/30/2023
Nepal,105684,614,74252,203.25,29136808,6/20/2023
Netherlands,173894,6624,4761,226.1,17134873,8/4/2023
New Zealand,1871,25,1801,232.43,4822233,4/4/2023
Nicaragua,5264,153,4225,223.05,6624554,6/2/2023
Niger,1201,69,1123,28.13,24206636,7/30/2023
Nigeria,60103,1115,51711,58.75,206139587,8/6/2023
North Macedonia,20555,785,16099,88.98,2083380,5/7/2023
Norway,15466,275,11863,223.5,5421242,11/13/2022
Oman,104129,1009,91731,154.84,5106622,10/25/2022
Pakistan,318932,6570,303458,144.16,220892331,8/27/2023
Panama,119666,2482,95552,201.72,4314768,5/12/2023
Papua New Guinea,549,7,532,7.27,8947027,5/1/2023
Paraguay,48978,1065,31351,143.72,7132530,5/12/2023
Peru,846088,33223,733000,264.86,32971846,8/21/2023
Philippines,336926,6238,276094,163.83,109581085,3/19/2023
Poland,121638,2972,78982,145.58,37846605,9/3/2023
Portugal,85574,2067,52803,274.49,10196707,8/4/2023
Qatar,127778,219,124767,282.33,2881060,5/7/2023
Romania,152403,5358,116628,85.6,19237682,6/11/2022
Russia,1278245,22331,1011911,129.01,145934460,7/4/2023
Rwanda,4892,30,3566,198.32,12952209,6/4/2023
Saint Kitts and Nevis,19,0,18,134.85,53192,12/2/2022
Saint Lucia,29,0,27,68.37,183629,12/2/2022
Saint Vincent and the Grenadines,64,0,64,70.65,110947,4/21/2023
San Marino,741,42,682,205.81,33938,5/22/2022
Sao Tome and Principe,922,15,890,116.04,219161,7/30/2023
Saudi Arabia,338944,5018,324737,188.24,34813867,4/25/2023
Senegal,15244,314,13198,17.86,16743930,7/30/2023
Serbia,34685,762,0,124.2,6804596,6/23/2022
Seychelles,148,0,144,209.6,98340,4/9/2023
Sierra Leone,2300,72,1725,106.39,7976985,7/30/2023
Singapore,57866,27,57698,261.27,5850343,10/25/2022
Slovakia,18797,61,5553,101.96,5459643,7/31/2022
Slovenia,8252,167,5024,141.36,2078932,7/6/2022
Somalia,3847,99,3079,59.98,15893219,7/25/2023
South Africa,690896,17673,622153,64.92,59308690,6/4/2023
South Sudan,2761,54,1290,39.52,11193729,5/7/2023
Spain,861112,32929,150376,222.55,46754783,5/24/2023
Sri Lanka,4628,13,3306,183.75,21413250,10/30/2022
Sudan,13670,836,6764,48.21,43849269,4/2/2023
Suriname,5035,107,4830,81.82,586634,5/23/2022
Sweden,98451,5894,0,248.61,10099270,8/27/2023
Switzerland,60368,2088,48400,193.82,8654618,7/3/2023
Syria,4673,221,1271,23.01,17500657,4/18/2023
Taiwan,527,7,488,285.23,23816775,9/3/2023
Tajikistan,10180,79,9006,189.61,9537642,12/4/2022
Tanzania,509,21,183,60.14,56320000,3/12/2023
Thailand,3636,59,3451,198.94,69799978,9/30/2022
Timor-Leste,28,0,28,150.55,1268000,6/26/2023
Togo,1935,49,1444,38.51,8278737,7/23/2023
Trinidad and Tobago,5043,90,3221,103.26,1399491,9/21/2022
Tunisia,31259,456,5032,107.26,11818618,6/20/2023
Turkey,334031,8778,293145,178.75,84339067,11/22/2022
Uganda,9701,93,6022,55.89,45741000,5/28/2023
Ukraine,263105,5010,116861,79.77,43733759,2/27/2022
United Arab Emirates,105133,443,95973,263.97,9890400,6/20/2022
United Kingdom,593565,42850,2495,224.04,67886004,9/4/2022
Uruguay,2268,50,1930,263.86,3473727,8/6/2023
United States of America,7717932,214370,3062983,203.83,331002647,5/9/2023
Uzbekistan,60776,502,57704,229.24,33469199,6/11/2023
Venezuela,82453,691,73919,133.78,28435943,12/7/2022
Vietnam,1107,35,1024,271.41,97338583,6/30/2023
West Bank and Gaza,43945,378,37240,178.25,4430000,12/7/2022
Western Sahara,10,1,8,16.77,597330,11/22/2022
Yemen,2051,595,1329,3.81,29825968,6/20/2023
Zambia,15415,337,14541,67.21,18383956,5/22/2023
Zimbabwe,8010,230,6492,74.89,14862927,10/9/2022
