Entity,Code,Day,Pfizer/BioNTech,Moderna,Oxford/AstraZeneca,Johnson&Johnson,Sputnik V,Sinovac,Sinopharm/Beijing,CanSino,Novavax,Covaxin,Medicago,Sanofi/GSK,SKYCovione,Valneva
Argentina,ARG,12/29/2020,0,0,1,0,20491,0,1,0,0,0,0,0,0,0
Argentina,ARG,12/30/2020,0,0,1,0,40592,0,1,0,0,0,0,0,0,0
Argentina,ARG,12/31/2020,0,0,1,0,43398,0,1,0,0,0,0,0,0,0
Argentina,ARG,1/1/2021,0,0,3,0,43525,0,1,0,0,0,0,0,0,0
Argentina,ARG,1/2/2021,1,0,4,0,46835,0,1,0,0,0,0,0,0,0
Argentina,ARG,1/3/2021,3,0,4,0,47279,0,1,0,0,0,0,0,0,0
Argentina,ARG,1/4/2021,3,0,4,0,57742,0,1,0,0,0,0,0,0,0
Argentina,ARG,1/5/2021,3,0,4,0,68469,0,5,0,0,0,0,0,0,0
Argentina,ARG,1/6/2021,6,0,5,0,78582,0,8,0,0,0,0,0,0,0
Argentina,ARG,1/7/2021,8,0,9,0,96807,0,10,0,0,0,0,0,0,0
Argentina,ARG,1/8/2021,8,0,10,0,124700,0,10,0,0,0,0,0,0,0
Argentina,ARG,1/9/2021,9,0,11,0,134907,0,11,0,0,0,0,0,0,0
Argentina,ARG,1/10/2021,12,0,11,0,136082,0,12,0,0,0,0,0,0,0
Argentina,ARG,1/11/2021,12,0,12,0,155910,0,14,0,0,0,0,0,0,0
Argentina,ARG,1/12/2021,13,0,14,0,175300,0,17,0,0,0,0,0,0,0
Argentina,ARG,1/13/2021,13,1,15,0,192072,0,21,0,0,0,0,0,0,0
Argentina,ARG,1/14/2021,14,1,15,0,208721,0,22,0,0,0,0,0,0,0
Argentina,ARG,1/15/2021,14,1,15,0,226168,0,22,0,0,0,0,0,0,0
Argentina,ARG,1/16/2021,14,1,15,0,232053,0,22,0,0,0,0,0,0,0
Argentina,ARG,1/17/2021,15,1,15,0,233115,0,22,0,0,0,0,0,0,0
Argentina,ARG,1/18/2021,16,1,15,0,242946,0,22,0,0,0,0,0,0,0
Argentina,ARG,1/19/2021,16,1,15,0,256200,0,24,1,0,0,0,0,0,0
Argentina,ARG,1/20/2021,16,1,15,0,275634,0,24,1,0,0,0,0,0,0
Argentina,ARG,1/21/2021,16,1,20,0,289746,0,26,1,0,0,0,0,0,0
Argentina,ARG,1/22/2021,16,1,23,0,298964,0,27,1,0,0,0,0,0,0
Argentina,ARG,1/23/2021,16,1,28,0,302909,0,27,1,0,0,0,0,0,0
Argentina,ARG,1/24/2021,16,1,29,0,303212,0,27,1,0,0,0,0,0,0
Argentina,ARG,1/25/2021,16,1,37,0,317424,0,27,1,0,0,0,0,0,0
Argentina,ARG,1/26/2021,16,1,75,0,330200,0,28,1,0,0,0,0,0,0
Argentina,ARG,1/27/2021,16,1,77,0,340313,0,28,1,0,0,0,0,0,0
Argentina,ARG,1/28/2021,16,1,78,0,356362,0,28,1,0,0,0,0,0,0
Argentina,ARG,1/29/2021,16,1,79,0,379866,0,28,1,0,0,0,0,0,0
Argentina,ARG,1/30/2021,16,1,79,0,389181,0,28,1,0,0,0,0,0,0
Argentina,ARG,1/31/2021,16,1,79,0,389804,0,29,2,0,0,0,0,0,0
Argentina,ARG,2/1/2021,16,1,98,0,409320,0,30,2,0,0,0,0,0,0
Argentina,ARG,2/2/2021,16,1,131,0,433171,0,30,2,0,0,0,0,0,0
Argentina,ARG,2/3/2021,16,1,139,0,459785,0,33,2,0,0,0,0,0,0
Argentina,ARG,2/4/2021,16,2,144,0,487898,0,56,2,0,0,0,0,0,0
Argentina,ARG,2/5/2021,16,2,149,0,520933,0,63,4,0,0,0,0,0,0
